Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_
Element,1,Element,2,Element,3,Element,4,Element,5,Element,6
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
22.243959999999998,17.80238405097059,22.243959999999998,17.8190082749507,22.243959999999998,29.822193327965415,22.243959999999998,17.84015589249409,22.243959999999998,21.644221554978635,22.243959999999998,17.98364325367366
44.487919999999995,16.217996785248562,44.487919999999995,16.25737170041254,44.487919999999995,37.407939684837885,44.487919999999995,16.29407547253596,44.487919999999995,22.845108772792468,44.487919999999995,16.905489933339176
66.73187999999999,15.100031493262438,66.73187999999999,15.172318552559128,66.73187999999999,43.22157463658743,66.73187999999999,15.220644691260853,66.73187999999999,23.74764765852782,66.73187999999999,16.553784505271
88.97583999999999,14.335041181024346,88.97583999999999,14.45245225698345,88.97583999999999,47.65627632163969,88.97583999999999,14.509602961422525,88.97583999999999,24.451902456181752,88.97583999999999,16.7631905051277
111.21979999999999,13.836393040849714,111.21979999999999,14.011856463191199,111.21979999999999,51.03403439307178,111.21979999999999,14.075822873212942,111.21979999999999,25.026757355859306,111.21979999999999,17.40487642623313
133.46375999999998,13.536146567879728,133.46375999999998,13.7823492514012,133.46375999999998,53.58967953882661,133.46375999999998,13.851651222412446,133.46375999999998,25.513213564580255,133.46375999999998,18.37336684122761
155.70771999999997,13.382099298825306,155.70771999999997,13.710904360699953,155.70771999999997,55.50658588655219,155.70771999999997,13.784442839978196,155.70771999999997,25.93790471011166,155.70771999999997,19.585573222234967
177.95167999999995,13.336723536790416,177.95167999999995,13.758861000138916,177.95167999999995,56.947374549371986,177.95167999999995,13.835828655357494,177.95167999999995,26.323923355730923,177.95167999999995,20.981328814812862
200.19563999999994,13.372417008661277,200.19563999999994,13.8973340526857,200.19563999999994,58.03559971133989,200.19563999999994,13.977134875244008,200.19563999999994,26.687058314706952,200.19563999999994,22.514318348714536
222.43959999999993,13.468981343041103,222.43959999999993,14.104794980034564,222.43959999999993,58.86422528972955,222.43959999999993,14.186987125873271,222.43959999999993,27.038022429951518,222.43959999999993,24.148921621584762
244.68355999999991,13.609240842862647,244.68355999999991,14.362642447406875,244.68355999999991,59.48128459541373,244.68355999999991,14.44687046246344,244.68355999999991,27.37775404254775,244.68355999999991,25.84970897229022
266.9275199999999,13.779263430491671,266.9275199999999,14.655542199186945,266.9275199999999,59.92152423161636,266.9275199999999,14.741522108410921,266.9275199999999,27.705149201398203,266.9275199999999,27.58811158278773
289.1714799999999,13.970051542865392,289.1714799999999,14.97325573229671,289.1714799999999,60.231106635898406,289.1714799999999,15.060773739192104,289.1714799999999,28.023992308292343,289.1714799999999,29.349045894621902
311.41543999999993,14.175161469808852,311.41543999999993,15.308277109859283,311.41543999999993,60.444148368120786,311.41543999999993,15.397172128756774,311.41543999999993,28.33678106766808,311.41543999999993,31.121227362405786
333.65939999999995,14.389993673251455,333.65939999999995,15.655105777683133,333.65939999999995,60.58579525295508,333.65939999999995,15.74525650524852,333.65939999999995,28.64512901867961,333.65939999999995,32.89624988482906
355.90335999999996,14.608923791927078,355.90335999999996,16.00719813465531,355.90335999999996,60.653974065294605,355.90335999999996,16.098486103795754,355.90335999999996,28.94400670481846,355.90335999999996,34.65731107799127
378.14732,14.826485050818665,378.14732,16.35822009391795,378.14732,60.64602138981105,378.14732,16.450538781551955,378.14732,29.228299822735707,378.14732,36.39045149316962
400.39128,15.039796365196889,400.39128,16.704629840386264,400.39128,60.579485783002845,400.39128,16.79789737614648,400.39128,29.498961328372445,400.39128,38.09463361064941
422.63524,15.246907198923186,422.63524,17.04401314234243,422.63524,60.46736630605258,422.63524,17.138167097009358,422.63524,29.756727039924478,422.63524,39.769567110645
444.8792,15.446540207202712,444.8792,17.374776509262,444.8792,60.31930884757598,444.8792,17.46976985023994,444.8792,30.002196754300375,444.8792,41.41547081056085
467.12316000000004,15.635685290899703,467.12316000000004,17.693500546378278,467.12316000000004,60.12304113568029,467.12316000000004,17.789270932914036,467.12316000000004,30.230140421480776,467.12316000000004,43.01999114869886
489.36712000000006,15.810870727391425,489.36712000000006,17.996282574715938,489.36712000000006,59.86842706309943,489.36712000000006,18.09276746495911,489.36712000000006,30.43549316158223,489.36712000000006,44.57286707602547
511.6110800000001,15.970639168078415,511.6110800000001,18.28141919699716,511.6110800000001,59.56643559614225,511.6110800000001,18.37856949313478,511.6110800000001,30.619132623971353,511.6110800000001,46.07848976670382
533.85504,16.114155750917085,533.85504,18.5480047220874,533.85504,59.2253315721323,533.85504,18.64578268946183,533.85504,30.781936741356205,533.85504,47.54082355076419
556.099,16.241042932858274,556.099,18.795704484986725,556.099,58.85138295686515,556.099,18.894081949311953,556.099,30.924789213926076,556.099,48.963427449382465
578.3429600000001,16.34920485492496,578.3429600000001,19.02229492405147,578.3429600000001,58.43134234744502,578.3429600000001,19.121224340584757,578.3429600000001,31.0432135458545,578.3429600000001,50.33446275244055
600.5869200000001,16.435968104186706,600.5869200000001,19.22488588297364,600.5869200000001,57.95436828946672,600.5869200000001,19.324317564730414,600.5869200000001,31.132834128425426,600.5869200000001,51.64430101267961
622.8308800000001,16.500423321530224,622.8308800000001,19.402523752290232,622.8308800000001,57.42951257427556,622.8308800000001,19.502417590351364,622.8308800000001,31.19478084077489,622.8308800000001,52.90012873562249
645.0748400000001,16.5422149369829,645.0748400000001,19.5549749280181,645.0748400000001,56.86371423842952,645.0748400000001,19.655299584869766,645.0748400000001,31.230248605153115,645.0748400000001,54.10803582314196
667.3188000000001,16.56139568950212,667.3188000000001,19.682509432733124,667.3188000000001,56.26234114677833,667.3188000000001,19.783241394974127,667.3188000000001,31.240471762119267,667.3188000000001,55.273196893048905
689.5627600000001,16.556461554300196,689.5627600000001,19.78361311899426,689.5627600000001,55.61323551059119,689.5627600000001,19.884708937125072,689.5627600000001,31.22180096331029,689.5627600000001,56.38313442235529
711.8067200000002,16.525306079364178,711.8067200000002,19.856032204333115,711.8067200000002,54.90634020429768,711.8067200000002,19.957446687850016,711.8067200000002,31.170566768299977,711.8067200000002,57.42792677006178
734.0506800000002,16.467364405059147,734.0506800000002,19.899229257743055,734.0506800000002,54.149585206126226,734.0506800000002,20.000924533278344,734.0506800000002,31.088046700830553,734.0506800000002,58.41655295163103
756.2946400000002,16.3825854394362,756.2946400000002,19.91335161038387,756.2946400000002,53.349141857304375,756.2946400000002,20.015297207254456,756.2946400000002,30.97562617106461,756.2946400000002,59.35638614693266
778.5386000000002,16.27129561773549,778.5386000000002,19.899014674140943,778.5386000000002,52.50985960083486,778.5386000000002,20.001187136374615,778.5386000000002,30.834749684686987,778.5386000000002,60.25351233881262
800.7825600000002,16.132466905593716,800.7825600000002,19.855212390181826,800.7825600000002,51.62117586861033,800.7825600000002,19.957568924825377,800.7825600000002,30.662522539739886,800.7825600000002,61.09449472143584
823.0265200000002,15.964464602265064,823.0265200000002,19.78016074107338,823.0265200000002,50.67417702730082,823.0265200000002,19.88265777412814,823.0265200000002,30.45590390677774,823.0265200000002,61.868840428957135
845.2704800000002,15.766955945702493,845.2704800000002,19.673562789585922,845.2704800000002,49.67566974611195,845.2704800000002,19.776162144235673,845.2704800000002,30.216163568769055,845.2704800000002,62.58680673711076
867.5144400000003,15.54007856071984,867.5144400000003,19.53577499318016,867.5144400000003,48.63103051247982,867.5144400000003,19.638444783002637,867.5144400000003,29.94472381625839,867.5144400000003,63.25661512135909
889.7584000000003,15.284314379621375,889.7584000000003,19.367591414444696,889.7584000000003,47.54454377294448,889.7584000000003,19.47030614766699,889.7584000000003,29.643089035784513,889.7584000000003,63.88489866660311
912.0023600000003,14.999017830594614,912.0023600000003,19.168383833781082,912.0023600000003,46.40741199046383,912.0023600000003,19.271099901662748,912.0023600000003,29.309041589347924,912.0023600000003,64.45724176148099
934.2463200000003,14.682946095524834,934.2463200000003,18.936730034547313,934.2463200000003,45.21199383812104,934.2463200000003,19.03940412967736,934.2463200000003,28.940098507696195,934.2463200000003,64.96253619921042
956.4902800000003,14.335901266105255,956.4902800000003,18.67245057857424,956.4902800000003,43.96383950274195,956.4902800000003,18.77504294247916,956.4902800000003,28.537389096426498,956.4902800000003,65.41197218990075
978.7342400000003,13.95810785076092,978.7342400000003,18.37598559988019,978.7342400000003,42.6674056486809,978.7342400000003,18.478461680697105,978.7342400000003,28.10224409409953,978.7342400000003,65.81433909695274
1000.9782000000004,13.550099051282663,1000.9782000000004,18.048183171073934,1000.9782000000004,41.32629369858494,1000.9782000000004,18.150514193631636,1000.9782000000004,27.63610461285435,1000.9782000000004,66.17659109152093
1023.2221600000004,13.111529235725323,1023.2221600000004,17.688698221416278,1023.2221600000004,39.93356300629064,1023.2221600000004,17.79083898853948,1023.2221600000004,27.137372155714672,1023.2221600000004,66.48344970385745
