Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_,Data Source,InternalRad : TMD : THESISINTEGRATEDTESTRAD_
Element,1,Element,2,Element,3,Element,4,Element,5,Element,6
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0
22.243959999999998,15.893608412420283,22.243959999999998,15.925768514158458,22.243959999999998,38.389070634939706,22.243959999999998,15.964280393235212,22.243959999999998,23.14671148420321,22.243959999999998,16.237213532978306
44.487919999999995,13.418624557185147,44.487919999999995,13.492191471436193,44.487919999999995,50.368537649228244,44.487919999999995,13.55324766144418,44.487919999999995,25.23592974102952,44.487919999999995,14.689510393524674
66.73187999999999,12.004460812048086,66.73187999999999,12.133688562088926,66.73187999999999,57.9108101398055,66.73187999999999,12.20833301657057,66.73187999999999,26.7065547056921,66.73187999999999,14.612984810466058
88.97583999999999,11.263426832208825,88.97583999999999,11.463751727340739,88.97583999999999,62.57033359486896,88.97583999999999,11.546840585657275,88.97583999999999,27.801571011852232,88.97583999999999,15.49624250056013
111.21979999999999,10.943954891193371,111.21979999999999,11.229855085253396,111.21979999999999,65.43888145301594,111.21979999999999,11.318408181045626,111.21979999999999,28.662539316310575,111.21979999999999,16.996186733174167
133.46375999999998,10.883044460284685,133.46375999999998,11.266835304140905,133.46375999999998,67.18812130459777,133.46375999999998,11.359097234443846,133.46375999999998,29.364201156802213,133.46375999999998,18.87617088821953
155.70771999999997,10.977088393976096,155.70771999999997,11.468459023276528,155.70771999999997,68.23534343567273,155.70771999999997,11.563400660559674,155.70771999999997,29.951488304611946,155.70771999999997,20.978333410679124
177.95167999999995,11.165231842896562,177.95167999999995,11.77134619210151,177.95167999999995,68.87154589529813,177.95167999999995,11.868408812415364,177.95167999999995,30.463648568698932,177.95167999999995,23.207793859545834
200.19563999999994,11.411284977775749,200.19563999999994,12.137063438333037,200.19563999999994,69.26946193750703,200.19563999999994,12.2359653769285,200.19563999999994,30.926864978547677,200.19563999999994,25.503983723410325
222.43959999999993,11.693737681720824,222.43959999999993,12.542206770296385,222.43959999999993,69.53034624363309,222.43959999999993,12.642825435139281,222.43959999999993,31.35852071790148,222.43959999999993,27.828304236604406
244.68355999999991,11.99449397214402,244.68355999999991,12.966952317957523,244.68355999999991,69.67376910303464,244.68355999999991,13.069212044286658,244.68355999999991,31.75780991869826,244.68355999999991,30.140656417185408
266.9275199999999,12.298859053087517,266.9275199999999,13.395130678112823,266.9275199999999,69.70843029233802,266.9275199999999,13.498975055068815,266.9275199999999,32.121293609517295,266.9275199999999,32.41215346991988
289.1714799999999,12.599740397232367,289.1714799999999,13.818669205130528,289.1714799999999,69.67620168465464,289.1714799999999,13.924085518651397,289.1714799999999,32.45635421080875,289.1714799999999,34.63752806622249
311.41543999999993,12.893453930371834,311.41543999999993,14.233286456153348,311.41543999999993,69.60164614157777,311.41543999999993,14.340285401071847,311.41543999999993,32.76836729330959,311.41543999999993,36.815166735265805
333.65939999999995,13.178277160386678,333.65939999999995,14.636920294067048,333.65939999999995,69.49924872810905,333.65939999999995,14.745523965057412,333.65939999999995,33.06129364661776,333.65939999999995,38.94548081108669
355.90335999999996,13.44853054459811,355.90335999999996,15.023456900960602,355.90335999999996,69.33979667871236,355.90335999999996,15.133651391884323,355.90335999999996,33.326245116164536,355.90335999999996,41.00980722727324
378.14732,13.697406025047252,378.14732,15.385654452356329,378.14732,69.10387411952489,378.14732,15.497398941543352,378.14732,33.554798567317214,378.14732,42.99419006027584
400.39128,13.92286093338086,400.39128,15.721397976336522,400.39128,68.81587050188008,400.39128,15.83467064151804,400.39128,33.751072675717054,400.39128,44.908510019096845
422.63524,14.123932192590035,422.63524,16.030109771340307,422.63524,68.49033905114678,422.63524,16.145255089862864,422.63524,33.91874143414104,422.63524,46.76127424656767
444.8792,14.302554130205051,444.8792,16.313720638488892,444.8792,68.1370059632024,444.8792,16.430626029501255,444.8792,34.06113999864684,444.8792,48.55969360752006
467.12316000000004,14.455392328028571,467.12316000000004,16.568842356015537,467.12316000000004,67.72598389475932,467.12316000000004,16.68736727806326,467.12316000000004,34.16994381858881,467.12316000000004,50.285546155631266
489.36712000000006,14.577362035795545,489.36712000000006,16.790263588165868,489.36712000000006,67.23744302258608,489.36712000000006,16.91029841037613,489.36712000000006,34.23735543460413,489.36712000000006,51.9258263246407
511.6110800000001,14.667686985089734,511.6110800000001,16.977370949213704,511.6110800000001,66.69361950319285,511.6110800000001,17.098843857167083,511.6110800000001,34.267602661397376,511.6110800000001,53.49567044467732
533.85504,14.72732885029496,533.85504,17.13150480904799,533.85504,66.10845455475022,533.85504,17.254373293031314,533.85504,34.26478859598163,533.85504,55.00679384064515
556.099,14.758176680962395,556.099,17.25498678987519,556.099,65.49094440292527,556.099,17.379230158243857,556.099,34.23273654942838,556.099,56.46828953200708
578.3429600000001,14.758117357162826,578.3429600000001,17.345667168034566,578.3429600000001,64.81369155913758,578.3429600000001,17.471207715460167,578.3429600000001,34.16431852038093,578.3429600000001,57.85922363104539
600.5869200000001,14.723100549980098,600.5869200000001,17.399322046114257,600.5869200000001,64.05811910477607,600.5869200000001,17.526097280738405,600.5869200000001,34.052623131804246,600.5869200000001,59.16534785024561
622.8308800000001,14.652929157997724,622.8308800000001,17.41591348815537,622.8308800000001,63.244583540578475,622.8308800000001,17.543881785112085,622.8308800000001,33.90184836520585,622.8308800000001,60.40503088408335
645.0748400000001,14.549048998288807,645.0748400000001,17.39729057483421,645.0748400000001,62.38612783951617,645.0748400000001,17.526429556948155,645.0748400000001,33.716218543158206,645.0748400000001,61.59159807773529
667.3188000000001,14.41375835357808,667.3188000000001,17.34620500793281,667.3188000000001,61.49135402525488,667.3188000000001,17.47650799230984,667.3188000000001,33.499735304305084,667.3188000000001,62.73483672169297
689.5627600000001,14.245668479923902,689.5627600000001,17.261178828217815,689.5627600000001,60.53567234063869,689.5627600000001,17.39257732624221,689.5627600000001,33.246322780795246,689.5627600000001,63.8107309276093
711.8067200000002,14.04135898097316,711.8067200000002,17.138524635255166,711.8067200000002,59.501845749347076,711.8067200000002,17.27096508193404,711.8067200000002,32.94978319843125,711.8067200000002,64.80351330470711
734.0506800000002,13.800798281866108,734.0506800000002,16.978331853344834,734.0506800000002,58.40782511987812,734.0506800000002,17.11177536132372,734.0506800000002,32.61394480433371,734.0506800000002,65.73408619528897
756.2946400000002,13.52552234916224,756.2946400000002,16.782539757638876,756.2946400000002,57.2653776378087,756.2946400000002,16.91696417943098,756.2946400000002,32.242835111749486,756.2946400000002,66.61684204377272
778.5386000000002,13.21787288519122,778.5386000000002,16.553949730414814,778.5386000000002,56.08241714062414,778.5386000000002,16.689347767871283,778.5386000000002,31.840341933589023,778.5386000000002,67.46187252877232
800.7825600000002,12.876881108855617,800.7825600000002,16.29159023893347,800.7825600000002,54.83745384387164,800.7825600000002,16.427865274770408,800.7825600000002,31.401327606210664,800.7825600000002,68.24230082202713
823.0265200000002,12.499575480316919,823.0265200000002,15.991968444253502,823.0265200000002,53.51461526131581,823.0265200000002,16.129091634550164,823.0265200000002,30.920219071847974,823.0265200000002,68.94095759197909
845.2704800000002,12.085876508825073,845.2704800000002,15.655099170046935,845.2704800000002,52.12902601988838,845.2704800000002,15.7930420904113,845.2704800000002,30.400243171176694,845.2704800000002,69.58083594364706
867.5144400000003,11.63719553175846,867.5144400000003,15.282805423354388,867.5144400000003,50.690859884120215,867.5144400000003,15.421548790274947,867.5144400000003,29.845023501129425,867.5144400000003,70.1771055975194
889.7584000000003,11.155712398475544,889.7584000000003,14.877742156755756,889.7584000000003,49.20709045999754,889.7584000000003,15.017277554441053,889.7584000000003,29.258151314003964,889.7584000000003,70.7399912959438
912.0023600000003,10.64070756102165,912.0023600000003,14.439058290221832,912.0023600000003,47.65940258769208,912.0023600000003,14.579354621732913,912.0023600000003,28.635397323908624,912.0023600000003,71.24015320231457
934.2463200000003,10.0896635106854,934.2463200000003,13.96376949317436,934.2463200000003,46.033693796337,934.2463200000003,14.10476922159976,934.2463200000003,27.971803733236097,934.2463200000003,71.65923582032474
956.4902800000003,9.502334690159271,956.4902800000003,13.451692001246409,956.4902800000003,44.34191688989773,956.4902800000003,13.593342382230981,956.4902800000003,27.26988314918739,956.4902800000003,72.02194591268398
978.7342400000003,8.879883071985029,978.7342400000003,12.904402450882397,978.7342400000003,42.592354155313025,978.7342400000003,13.046664503094098,978.7342400000003,26.532742428313608,978.7342400000003,72.34403095837413
1000.9782000000004,8.224203689945119,1000.9782000000004,12.32428500165006,1000.9782000000004,40.7907845192498,1000.9782000000004,12.467134634592837,1000.9782000000004,25.763571014800384,1000.9782000000004,72.63575816201619
1023.2221600000004,7.534836875103208,1023.2221600000004,11.710724082582665,1023.2221600000004,38.92236782876067,1023.2221600000004,11.854121097106963,1023.2221600000004,24.959082886742873,1023.2221600000004,72.86581998825288
