Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI
Element,1,Element,2,Element,3,Element,4,Element,5,Element,6
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,4.7245854469403525,0.0,4.469854793861657,0.0,4.778493292039627,0.0,4.471840188154829,0.0,4.662597734736721,0.0,4.72480272273998
22.6983,4.6400103819616945,22.6983,4.618293361002803,22.6983,5.635992416390992,22.6983,4.621634888498836,22.6983,4.867585119220034,22.6983,4.657210802837396
45.3966,4.811237895139259,45.3966,4.81614596005613,45.3966,5.963554488323909,45.3966,4.819923466013101,45.3966,5.008091975682966,45.3966,4.86508857561767
68.0949,5.010564185206621,68.0949,5.024115433784941,68.0949,6.200435093093241,68.0949,5.028036541463353,68.0949,5.192405195013917,68.0949,5.106649321150568
90.7932,5.217295754425733,90.7932,5.2383139746933285,90.7932,6.420842086640768,90.7932,5.242284086133559,90.7932,5.399103225965604,90.7932,5.357206373727307
113.4915,5.429775892659722,113.4915,5.458308261892575,113.4915,6.6411031825356215,113.4915,5.4622968427171905,113.4915,5.616883216206555,113.4915,5.613964317307882
136.1898,5.647427438484985,136.1898,5.683498458957585,136.1898,6.863276720809642,136.1898,5.687490801691252,136.1898,5.841249934859139,136.1898,5.8757622015746085
158.88809999999998,5.869438197555201,158.88809999999998,5.913016617179183,158.88809999999998,7.087385473318089,158.88809999999998,5.917005530071676,158.88809999999998,6.070334574418426,158.88809999999998,6.141628729532491
181.58639999999997,6.095441529750088,181.58639999999997,6.14649653374435,181.58639999999997,7.3149564244526335,181.58639999999997,6.15047975559144,181.58639999999997,6.303685476887493,181.58639999999997,6.411401382624085
204.28469999999996,6.325354997886114,204.28469999999996,6.383874984733935,204.28469999999996,7.546299883668301,204.28469999999996,6.387851767034227,204.28469999999996,6.541041291405419,204.28469999999996,6.685056771979396
226.98299999999995,6.55913755802099,226.98299999999995,6.625118300933169,226.98299999999995,7.781473394747574,226.98299999999995,6.6290883664573865,226.98299999999995,6.782294398806973,226.98299999999995,6.962570896378608
249.68129999999994,6.796273495549482,249.68129999999994,6.869666798778362,249.68129999999994,8.018354919586688,249.68129999999994,6.873624900839924,249.68129999999994,7.026670458589281,249.68129999999994,7.242928166573857
272.3795999999999,7.035918868668726,272.3795999999999,7.116629555940621,272.3795999999999,8.255774537321395,272.3795999999999,7.1205717295329105,272.3795999999999,7.273391218197886,272.3795999999999,7.5251506400281665
295.07789999999994,7.2776701189424395,295.07789999999994,7.365626978610029,295.07789999999994,8.49487391102955,295.07789999999994,7.369552033030087,295.07789999999994,7.522313342597268,295.07789999999994,7.809290644007335
317.77619999999996,7.521428128103989,317.77619999999996,7.616605798545624,317.77619999999996,8.73587033718684,317.77619999999996,7.62051334848608,317.77619999999996,7.773282919296311,317.77619999999996,8.0953806492893
340.4745,7.767154301401233,340.4745,7.869544397627168,340.4745,8.978804089316625,340.4745,7.873434300530404,340.4745,8.026232986650907,340.4745,8.383420023770217
363.1728,8.01435480066197,363.1728,8.123888154475889,363.1728,9.221613288654094,363.1728,8.127755081664818,363.1728,8.280409665412193,363.1728,8.67218277173484
385.8711,8.262193746483643,385.8711,8.378731102587562,385.8711,9.463122323665514,385.8711,8.38257132946036,385.8711,8.53501787298381,385.8711,8.960633639773892
408.56940000000003,8.510248707952737,408.56940000000003,8.633685276451779,408.56940000000003,9.704402833362115,408.56940000000003,8.637497743400283,408.56940000000003,8.789897072299885,408.56940000000003,9.249024164294276
431.26770000000005,8.758409427292264,431.26770000000005,8.888708216357623,431.26770000000005,9.94567178237321,431.26770000000005,8.892492608441865,431.26770000000005,9.044908338985113,431.26770000000005,9.537438529704074
453.96600000000007,9.006641807863305,453.96600000000007,9.14379095698796,453.96600000000007,10.186979516879317,453.96600000000007,9.147547176117582,453.96600000000007,9.299999233462263,453.96600000000007,9.825898735312354
476.6643000000001,9.254482355646786,476.6643000000001,9.398393025519066,476.6643000000001,10.426365172131806,476.6643000000001,9.402115716807065,476.6643000000001,9.554440634961175,476.6643000000001,10.112987803219037
499.3626000000001,9.501116896483511,499.3626000000001,9.651608070667812,499.3626000000001,10.662668652873,499.3626000000001,9.655293800316185,499.3626000000001,9.80743125211619,499.3626000000001,10.397629826410276
522.0609000000001,9.746111197117305,522.0609000000001,9.903046257623352,522.0609000000001,10.896875714477458,522.0609000000001,9.90669411158097,522.0609000000001,10.058795602874172,522.0609000000001,10.680271923690166
544.7592000000001,9.989345996715704,544.7592000000001,10.152676986301994,544.7592000000001,11.129200142757256,544.7592000000001,10.1562867246114,544.7592000000001,10.308412134531567,544.7592000000001,10.961049002762275
567.4575000000001,10.230792620798194,567.4575000000001,10.40050445987577,567.4575000000001,11.35970198997443,567.4575000000001,10.404076030688131,567.4575000000001,10.556244075818727,567.4575000000001,11.24000570305187
590.1558000000001,10.470025599260493,590.1558000000001,10.646011246249863,590.1558000000001,11.58655270015962,590.1558000000001,10.649539353248125,590.1558000000001,10.801598916017536,590.1558000000001,11.515556803700626
612.8541000000001,10.706265657521707,612.8541000000001,10.888305264574777,612.8541000000001,11.808626331302563,612.8541000000001,10.891786819254326,612.8541000000001,11.043682151048632,612.8541000000001,11.786603103143309
635.5524000000001,10.939073955600776,635.5524000000001,11.127001308236462,635.5524000000001,12.026807553908705,635.5524000000001,11.130435556811667,635.5524000000001,11.282306474367967,635.5524000000001,12.053780575737209
658.2507000000002,11.168324451661436,658.2507000000002,11.362081452019133,658.2507000000002,12.241303944126457,658.2507000000002,11.365468233604357,658.2507000000002,11.517369956152185,658.2507000000002,12.317273020813602
680.9490000000002,11.393994669761685,680.9490000000002,11.593563315872315,680.9490000000002,12.452184628284064,680.9490000000002,11.596902625972515,680.9490000000002,11.748852386428226,680.9490000000002,12.577147311478246
703.6473000000002,11.615704171222218,703.6473000000002,11.820960964333775,703.6473000000002,12.657782473868252,703.6473000000002,11.824247648937463,703.6473000000002,11.976109080410897,703.6473000000002,12.83167529825181
726.3456000000002,11.832721137897872,726.3456000000002,12.043410927460839,726.3456000000002,12.85702369159509,726.3456000000002,12.04664229216207,726.3456000000002,12.198365125381894,726.3456000000002,13.079752111641989
749.0439000000002,12.044609287627864,749.0439000000002,12.260538945390376,749.0439000000002,13.050678158361107,749.0439000000002,12.263714408579618,749.0439000000002,12.415424593986053,749.0439000000002,13.322192768756096
771.7422000000003,12.251238009771555,771.7422000000003,12.47234026641956,771.7422000000003,13.238944197339645,771.7422000000003,12.475459748843589,771.7422000000003,12.627207004287165,771.7422000000003,13.559227245255736
794.4405000000003,12.452591579483016,794.4405000000003,12.6788458387564,794.4405000000003,13.42189911139589,794.4405000000003,12.681909383342104,794.4405000000003,12.833709212959151,794.4405000000003,13.790943766752074
817.1388000000003,12.648340751389044,817.1388000000003,12.879609046407747,817.1388000000003,13.598063621264354,817.1388000000003,12.882611722638666,817.1388000000003,13.034344685261049,817.1388000000003,14.01549867978386
839.8371000000003,12.837812824758108,839.8371000000003,13.073808768860715,839.8371000000003,13.766433114914092,839.8371000000003,13.076748318662954,839.8371000000003,13.228370444138928,839.8371000000003,14.231798999984887
862.5354000000003,13.020581037509327,862.5354000000003,13.261087674589968,862.5354000000003,13.927650618591366,862.5354000000003,13.263963697361506,862.5354000000003,13.415585117489114,862.5354000000003,14.44082598667083
885.2337000000003,13.19651232121271,885.2337000000003,13.441454303787921,885.2337000000003,14.081902137887514,885.2337000000003,13.444266802810368,885.2337000000003,13.595930984956574,885.2337000000003,14.64285218256632
907.9320000000004,13.365597968117175,907.9320000000004,13.61495245566868,907.9320000000004,14.229271949757308,907.9320000000004,13.617701520229163,907.9320000000004,13.769422026433721,907.9320000000004,14.837985771658909
930.6303000000004,13.527565094548848,930.6303000000004,13.781181849618857,930.6303000000004,14.36849190789413,930.6303000000004,13.783862849984306,930.6303000000004,13.935539076443815,930.6303000000004,15.024296647502847
953.3286000000004,13.68181065174157,953.3286000000004,13.939376587634234,953.3286000000004,14.498642314941138,953.3286000000004,13.941987736999039,953.3286000000004,14.09358273637725,953.3286000000004,15.200720865827858
976.0269000000004,13.827924004857849,976.0269000000004,14.08920177393558,976.0269000000004,14.620229088023812,976.0269000000004,14.09174285826744,976.0269000000004,14.243349244183076,976.0269000000004,15.368390300803371
998.7252000000004,13.965771564050462,998.7252000000004,14.230678937311692,998.7252000000004,14.733422836072195,998.7252000000004,14.233150041607383,998.7252000000004,14.384804383089474,998.7252000000004,15.527615578493249
1021.4235000000004,14.095351576788639,1021.4235000000004,14.363863832999458,1021.4235000000004,14.838313284606528,1021.4235000000004,14.366265090685975,1021.4235000000004,14.517978826955094,1021.4235000000004,15.678522920723854
1044.1218000000003,14.216452310757422,1044.1218000000003,14.488408751929734,1044.1218000000003,14.93386325378246,1044.1218000000003,14.490735915124246,1044.1218000000003,14.642429148682455,1044.1218000000003,15.81912603251742
1066.8201000000004,14.328549969804456,1066.8201000000004,14.603615064527897,1066.8201000000004,15.019252369534467,1066.8201000000004,14.605866855771984,1066.8201000000004,14.757510584048804,1066.8201000000004,15.948406666246129
1089.5184000000004,14.431255746470192,1089.5184000000004,14.709175339333616,1089.5184000000004,15.094841279915372,1089.5184000000004,14.711351736579825,1089.5184000000004,14.863019701413172,1089.5184000000004,16.067629255698677
1112.2167000000004,14.524437138807063,1112.2167000000004,14.805123361203435,1112.2167000000004,15.160782171364,1112.2167000000004,14.807224529565572,1112.2167000000004,14.958945880156836,1112.2167000000004,16.177137275152624
1134.9150000000004,14.608098914117837,1134.9150000000004,14.891525523827386,1134.9150000000004,15.21716838507801,1134.9150000000004,14.893551637793214,1134.9150000000004,15.045335547479146,1134.9150000000004,16.277072571876484
1157.6133000000004,14.679568405151537,1157.6133000000004,14.966478361187015,1157.6133000000004,15.261935210883154,1157.6133000000004,14.968982304082502,1157.6133000000004,15.121164251713665,1157.6133000000004,16.365016157046018
1180.3116000000005,14.742392911009157,1180.3116000000005,15.031535278601975,1180.3116000000005,15.295826208337457,1180.3116000000005,15.034033798986453,1180.3116000000005,15.186214816454807,1180.3116000000005,16.43993953389149
1203.0099000000005,14.795285683362868,1203.0099000000005,15.086172515782113,1203.0099000000005,15.319151448520737,1203.0099000000005,15.088529918797935,1203.0099000000005,15.240731183161687,1203.0099000000005,16.503686611940115
1225.7082000000005,14.83789467091434,1225.7082000000005,15.13037535230445,1225.7082000000005,15.332013967449194,1225.7082000000005,15.132554097180448,1225.7082000000005,15.284795102597624,1225.7082000000005,16.556798937028415
1248.4065000000005,14.870169418244533,1248.4065000000005,15.164201329654913,1248.4065000000005,15.3344933735905,1248.4065000000005,15.16619154372936,1248.4065000000005,15.318479543441425,1248.4065000000005,16.599481266448162
1271.1048000000005,14.892465635768291,1271.1048000000005,15.187615445407898,1271.1048000000005,15.326149036258446,1271.1048000000005,15.18939991478082,1271.1048000000005,15.341822583104623,1271.1048000000005,16.6298106608085
1293.8031000000005,14.904622743908446,1293.8031000000005,15.200234412926632,1293.8031000000005,15.306535769787988,1293.8031000000005,15.201815640517093,1293.8031000000005,15.354537723681702,1293.8031000000005,16.64705921586479
1316.5014000000006,14.90610778801408,1316.5014000000006,15.201839541978169,1316.5014000000006,15.275804861195546,1316.5014000000006,15.203220981094583,1316.5014000000006,15.356322504718555,1316.5014000000006,16.652800318455643
1339.1997000000006,14.89674169467046,1339.1997000000006,15.19248252687194,1339.1997000000006,15.234085303776032,1339.1997000000006,15.193666468734987,1339.1997000000006,15.347173971651095,1339.1997000000006,16.647456444948542
1361.8980000000006,14.876521773497508,1361.8980000000006,15.172240277404672,1361.8980000000006,15.181473403140085,1361.8980000000006,15.173228270011004,1361.8980000000006,15.32715017614106,1361.8980000000006,16.631196787425583
1384.5963000000006,14.848004458046237,1384.5963000000006,15.143467537228451,1384.5963000000006,15.126251712660402,1384.5963000000006,15.144326359912009,1384.5963000000006,15.306467228534709,1384.5963000000006,16.604267440494635
