Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI,Data Source,InternalRad : TMD2 : THESISVERIFICATIONBASELI
Element,1,Element,2,Element,3,Element,4,Element,5,Element,6
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,4.7752932158545605,0.0,4.521581977846779,0.0,4.8298986050163535,0.0,4.522141931399005,0.0,4.710789246657214,0.0,4.775115965394207
22.6983,4.690244168594057,22.6983,4.6714142428958905,22.6983,5.688990730070734,22.6983,4.672539292923648,22.6983,4.9144838909987545,22.6983,4.706833321232796
45.3966,4.860967326705972,45.3966,4.869518837464699,45.3966,6.018834462309308,45.3966,4.870855468362738,45.3966,5.054495839666149,45.3966,4.914270706458244
68.0949,5.060291003758633,68.0949,5.077666776815996,68.0949,6.25670831898704,68.0949,5.0790818832043065,68.0949,5.238432050034437,68.0949,5.156032533594582
90.7932,5.267100200704086,90.7932,5.292028014183489,90.7932,6.477580218937459,90.7932,5.293472923470491,90.7932,5.445033605358922,90.7932,5.406928370971446
113.4915,5.479660833606565,113.4915,5.512177455728784,113.4915,6.698109810862928,113.4915,5.513634947393392,113.4915,5.662871902870513,113.4915,5.664050176421449
136.1898,5.697388604905953,136.1898,5.737515474494891,136.1898,6.920475599953015,136.1898,5.7389765584757875,136.1898,5.887362902967646,136.1898,5.926216474570063
158.88809999999998,5.9194723747179685,158.88809999999998,5.967175114725258,158.88809999999998,7.144740901437858,158.88809999999998,5.968636067901601,158.88809999999998,6.116597966437771,158.88809999999998,6.19245138943026
181.58639999999997,6.145545452580528,181.58639999999997,6.2007929404238435,181.58639999999997,7.372450028100935,181.58639999999997,6.202252495931521,181.58639999999997,6.3501072141569,181.58639999999997,6.4625903210834315
204.28469999999996,6.3755247629296035,204.28469999999996,6.43830550340754,204.28469999999996,7.603922639641527,204.28469999999996,6.439763198967545,204.28469999999996,6.58762235777789,204.28469999999996,6.736609285097905
226.98299999999995,6.6093690488692936,226.98299999999995,6.679679109891344,226.98299999999995,7.839219750220539,226.98299999999995,6.68113475001555,226.98299999999995,6.829032787563566,226.98299999999995,7.014484285310802
249.68129999999994,6.846563010627281,249.68129999999994,6.92435130245285,249.68129999999994,8.076217238230967,249.68129999999994,6.925801502780754,249.68129999999994,7.073566177761519,249.68129999999994,7.295199707455142
272.3795999999999,7.086263539659775,272.3795999999999,7.171431137229821,272.3795999999999,8.313740868680837,272.3795999999999,7.1728742593551384,272.3795999999999,7.320445307661894,272.3795999999999,7.577776710094816
295.07789999999994,7.328066524174449,295.07789999999994,7.420541314457426,295.07789999999994,8.552933376469273,295.07789999999994,7.421976833778227,295.07789999999994,7.569524310529026,295.07789999999994,7.862266819486008
317.77619999999996,7.5718717914986895,317.77619999999996,7.671628164903103,317.77619999999996,8.79401561972693,317.77619999999996,7.673055887700662,317.77619999999996,7.8206478965539095,317.77619999999996,8.148702756029135
340.4745,7.8176402956400795,340.4745,7.924670014063158,340.4745,9.037029385657732,340.4745,7.926089851699094,340.4745,8.073748054733015,340.4745,8.43708422729058
363.1728,8.06487865369492,363.1728,8.17910966096047,363.1728,9.279910232883475,363.1728,8.180518085978107,363.1728,8.3280735409261,363.1728,8.726184846203125
385.8711,8.31275210772473,385.8711,8.434041240703184,385.8711,9.521478272320765,385.8711,8.435436779278884,385.8711,8.582830586083766,385.8711,9.014967860010774
408.56940000000003,8.560837769978427,408.56940000000003,8.689078936193916,408.56940000000003,9.762806085040667,408.56940000000003,8.690461172914025,408.56940000000003,8.837856252397929,408.56940000000003,9.303684239976374
431.26770000000005,8.809024170708112,431.26770000000005,8.944179824108708,431.26770000000005,10.0041140067697,431.26770000000005,8.945548628654763,431.26770000000005,9.093010234004403,431.26770000000005,9.592418971325625
453.96600000000007,9.05727661308475,453.96600000000007,9.199334883664783,453.96600000000007,10.245453849614638,453.96600000000007,9.200690209135532,453.96600000000007,9.348239078288248,453.96600000000007,9.881194635105969
476.6643000000001,9.305132121183593,476.6643000000001,9.454001307751682,476.6643000000001,10.484862401005351,476.6643000000001,9.45533951861823,476.6643000000001,9.602816235420311,476.6643000000001,10.168593461892801
499.3626000000001,9.551777928312898,499.3626000000001,9.707272972482658,499.3626000000001,10.721175615770868,499.3626000000001,9.708592776751804,499.3626000000001,9.855941777038636,499.3626000000001,10.453537441661956
522.0609000000001,9.796779451934398,522.0609000000001,9.958762011238598,522.0609000000001,10.955380117501713,522.0609000000001,9.960063107861743,522.0609000000001,10.107437916991405,522.0609000000001,10.73647337660115
544.7592000000001,10.040016076153947,544.7592000000001,10.208437303405361,544.7592000000001,11.187692838989683,544.7592000000001,10.209719627601885,544.7592000000001,10.35718171378916,544.7592000000001,11.017537530212538
567.4575000000001,10.28145838189961,567.4575000000001,10.45630299815182,567.4575000000001,11.418175235426581,567.4575000000001,10.457566546031083,567.4575000000001,10.60513542803524,567.4575000000001,11.296775364340357
590.1558000000001,10.520681471366304,590.1558000000001,10.701839611542932,590.1558000000001,11.644996666390014,590.1558000000001,10.703080697551437,590.1558000000001,10.850609013593001,590.1558000000001,11.57260047031678
612.8541000000001,10.756907745207513,612.8541000000001,10.944155412763871,612.8541000000001,11.867027644093206,612.8541000000001,10.945372947784175,612.8541000000001,11.092809355777241,612.8541000000001,11.843910958424097
635.5524000000001,10.98969812741817,635.5524000000001,11.182866950956326,635.5524000000001,12.085153620117069,635.5524000000001,11.184060753675611,635.5524000000001,11.331546972773427,635.5524000000001,12.111342748009413
658.2507000000002,11.218925094213306,658.2507000000002,11.417955730453926,658.2507000000002,12.29958503823034,658.2507000000002,11.419125803244041,658.2507000000002,11.566718558325555,658.2507000000002,12.375081544960931
680.9490000000002,11.444565287208572,680.9490000000002,11.649439319044957,680.9490000000002,12.510392341828949,680.9490000000002,11.65058570164971,680.9490000000002,11.798302994766706,680.9490000000002,12.635195280511084
703.6473000000002,11.666238883324466,703.6473000000002,11.876830043633099,703.6473000000002,12.715906620062725,703.6473000000002,11.877949059135272,703.6473000000002,12.02565791682971,703.6473000000002,12.889954233677706
726.3456000000002,11.883215982204948,726.3456000000002,12.099264900592104,726.3456000000002,12.91505101238818,726.3456000000002,12.100355680355534,726.3456000000002,12.24800980353674,726.3456000000002,13.138250293551197
749.0439000000002,12.095060181991023,749.0439000000002,12.316371144814926,749.0439000000002,13.108596075716072,749.0439000000002,12.31743363047596,749.0439000000002,12.465160711176381,749.0439000000002,13.380898693512117
771.7422000000003,12.301639282132527,771.7422000000003,12.52814341264157,771.7422000000003,13.296742667869832,771.7422000000003,12.529177673989944,771.7422000000003,12.677028814005519,771.7422000000003,13.618131852001072
794.4405000000003,12.502936546567566,794.4405000000003,12.734612602192794,794.4405000000003,13.47956929980871,794.4405000000003,12.735618722231925,794.4405000000003,12.883610136555951,794.4405000000003,13.850039279041289
817.1388000000003,12.698623375956581,817.1388000000003,12.935330699940057,817.1388000000003,13.655595257523661,817.1388000000003,12.936305068546014,817.1388000000003,13.084320281649315,817.1388000000003,14.074775387578697
839.8371000000003,12.888029197942567,839.8371000000003,13.129477158531381,839.8371000000003,13.823813394648864,839.8371000000003,13.13041914129867,839.8371000000003,13.27841764112757,839.8371000000003,14.291243444263275
862.5354000000003,13.070727247405946,862.5354000000003,13.316695895745589,862.5354000000003,13.984867302338687,862.5354000000003,13.31760555814777,862.5354000000003,13.46569901306172,862.5354000000003,14.500425201359285
885.2337000000003,13.246582779679983,885.2337000000003,13.496994807981949,885.2337000000003,14.13894513751887,885.2337000000003,13.497872286030459,885.2337000000003,13.646105386473696,885.2337000000003,14.702596154632216
907.9320000000004,13.415585958814395,907.9320000000004,13.670417646506898,907.9320000000004,14.286132253460934,907.9320000000004,13.671263064995404,907.9320000000004,13.819649998973073,907.9320000000004,14.897865984429192
930.6303000000004,13.577464563175901,930.6303000000004,13.836563092978414,930.6303000000004,14.425159443342631,930.6303000000004,13.83737296521822,930.6303000000004,13.98581560616235,930.6303000000004,15.084302319229876
953.3286000000004,13.73161784481177,953.3286000000004,13.994665917181372,953.3286000000004,14.555105064381669,953.3286000000004,13.995439852591922,953.3286000000004,14.143904129811466,953.3286000000004,15.260837017565551
976.0269000000004,13.877635280138136,976.0269000000004,14.144392187220834,976.0269000000004,14.676475469777687,976.0269000000004,14.145130373587078,976.0269000000004,14.293710189625518,976.0269000000004,15.42860272349941
998.7252000000004,14.015381540948052,998.7252000000004,14.285762766955232,998.7252000000004,14.789442991139532,998.7252000000004,14.286465403802572,998.7252000000004,14.435198351902331,998.7252000000004,15.587913488303844
1021.4235000000004,14.144853644136308,1021.4235000000004,14.418833365716342,1021.4235000000004,14.894098276703167,1021.4235000000004,14.419500617025202,1021.4235000000004,14.56839865116648,1021.4235000000004,15.738897222561784
1044.1218000000003,14.265840520986337,1044.1218000000003,14.543255618650806,1044.1218000000003,14.989403483007273,1044.1218000000003,14.543884174528163,1044.1218000000003,14.692869322896994,1044.1218000000003,15.879565073183477
1066.8201000000004,14.377820806465538,1066.8201000000004,14.658331645228271,1066.8201000000004,15.074536918974108,1066.8201000000004,14.658921362621683,1066.8201000000004,14.807966847469151,1066.8201000000004,16.00889421791846
1089.5184000000004,14.480405913178087,1089.5184000000004,14.76375466854901,1089.5184000000004,15.149859526535884,1089.5184000000004,14.764305853205553,1089.5184000000004,14.91348641887571,1089.5184000000004,16.12815013155263
1112.2167000000004,14.573461563850627,1112.2167000000004,14.859557797387486,1112.2167000000004,15.215524747110251,1112.2167000000004,14.860070708040247,1112.2167000000004,15.009416294830315,1112.2167000000004,16.237680136009494
1134.9150000000004,14.656991209617297,1134.9150000000004,14.945807380976435,1134.9150000000004,15.271626670852484,1134.9150000000004,14.946282217046706,1134.9150000000004,15.095802377816906,1134.9150000000004,16.337627935396604
1157.6133000000004,14.728352024482202,1157.6133000000004,15.02062222001223,1157.6133000000004,15.316118248933897,1157.6133000000004,15.021605392597472,1157.6133000000004,15.171632576281626,1157.6133000000004,16.42557972829746
1180.3116000000005,14.791048378382028,1180.3116000000005,15.085524787414604,1180.3116000000005,15.349721722959591,1180.3116000000005,15.086544291923571,1180.3116000000005,15.236684781024238,1180.3116000000005,16.500502127629183
1203.0099000000005,14.84380802756309,1203.0099000000005,15.139998004229199,1203.0099000000005,15.372747125317893,1203.0099000000005,15.1409197746668,1203.0099000000005,15.291194590320911,1203.0099000000005,16.564230867870005
1225.7082000000005,14.886277957397006,1225.7082000000005,15.184027230929717,1225.7082000000005,15.38529904717241,1225.7082000000005,15.184813740252444,1225.7082000000005,15.335242668984504,1225.7082000000005,16.617310333343163
1248.4065000000005,14.918405943291626,1248.4065000000005,15.217670018711898,1248.4065000000005,15.387457737204638,1248.4065000000005,15.218311266842775,1248.4065000000005,15.368901738529173,1248.4065000000005,16.659947555879242
1271.1048000000005,14.94054950144591,1271.1048000000005,15.240898275788977,1271.1048000000005,15.378783967088271,1271.1048000000005,15.24138142683963,1271.1048000000005,15.392205935246794,1271.1048000000005,16.690217722362117
1293.8031000000005,14.952554052885663,1293.8031000000005,15.25333264025032,1293.8031000000005,15.358835533714144,1293.8031000000005,15.253665608729166,1293.8031000000005,15.404871603966159,1293.8031000000005,16.707390077047073
1316.5014000000006,14.953888522874177,1316.5014000000006,15.254750025773966,1316.5014000000006,15.327765136665935,1316.5014000000006,15.254937829587078,1316.5014000000006,15.406603239597105,1316.5014000000006,16.713041237202578
1339.1997000000006,14.944371563848428,1339.1997000000006,15.245201403113622,1339.1997000000006,15.285701871169223,1339.1997000000006,15.245246793469489,1339.1997000000006,15.397398059893062,1339.1997000000006,16.707598782607242
1361.8980000000006,14.923998743259103,1361.8980000000006,15.224763725317146,1361.8980000000006,15.23274234808719,1361.8980000000006,15.224668383939468,1361.8980000000006,15.377313948202827,1361.8980000000006,16.691234289038217
1384.5963000000006,14.895327314815901,1384.5963000000006,15.19580652920931,1384.5963000000006,15.17718126999808,1384.5963000000006,15.195617471619064,1384.5963000000006,15.356583960372637,1384.5963000000006,16.66418725671242
