Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit
Element,Box:face1,Element,Box:face1,Element,Box:face1,Element,Box:face3,Element,Box:face3,Element,Box:face3,Element,Box:face5,Element,Box:face5,Element,Box:face5,Element,Box:face7,Element,Box:face7,Element,Box:face7,Element,Box:face9,Element,Box:face9,Element,Box:face9,Element,Box:face11,Element,Box:face11,Element,Box:face11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power
0.0,0.5684413356747847,0.0,0.3148463994066998,0.0,0.0,0.0,0.5880840399432167,0.0,0.3256596065989398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067797271364118,0.0,0.5906527172759034,0.0,0.3270848595256925,0.0,0.0,0.0,1.8422556535177677,0.0,1.015767628413118,0.0,0.0,0.0,0.5676758850435769,0.0,0.31435257197184263,0.0,0.0
113.49153348510141,0.5570754203989101,113.49153348510141,0.3148463994066997,113.49153348510141,0.0,113.49153348510141,0.583472214408392,113.49153348510141,0.3256596065989398,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,0.0,113.49153348510141,7.012060392667025,113.49153348510141,0.5858707330079924,113.49153348510141,0.32708485952569255,113.49153348510141,0.0,113.49153348510141,1.8279055540200184,113.49153348510141,1.0157676284131183,113.49153348510141,0.0,113.49153348510141,0.5700972536228213,113.49153348510141,0.31435257197184274,113.49153348510141,0.8858709379554008
226.98306697020283,0.5369232933939321,226.98306697020283,0.3148463994066998,226.98306697020283,0.0,226.98306697020283,0.5696578407166685,226.98306697020283,0.3256596065989398,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,0.0,226.98306697020283,6.845729004553269,226.98306697020283,0.5718483711580793,226.98306697020283,0.3270848595256925,226.98306697020283,0.0,226.98306697020283,1.7847256516396837,226.98306697020283,1.015767628413118,226.98306697020283,0.0,226.98306697020283,0.5635270194223718,226.98306697020283,0.31435257197184263,226.98306697020283,1.7577692298265164
340.47460045530426,0.5083028374758771,340.47460045530426,0.3148463994066997,340.47460045530426,0.0,340.47460045530426,0.5468588393986016,340.47460045530426,0.32565960659893983,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,0.0,340.47460045530426,6.5714269693684795,340.47460045530426,0.5488068329212055,340.47460045530426,0.32708485952569255,340.47460045530426,0.0,340.47460045530426,1.7133971057546702,340.47460045530426,1.0157676284131183,340.47460045530426,0.0,340.47460045530426,0.5480688424479909,340.47460045530426,0.31435257197184274,340.47460045530426,2.6019427079331505
453.96613394040565,0.47166551864677103,453.96613394040565,0.31484639940669945,453.96613394040565,0.0,453.96613394040565,0.5154348595333804,453.96613394040565,0.3256596065989393,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,0.0,453.96613394040565,6.19348133887284,453.96613394040565,0.5171095930113218,453.96613394040565,0.32708485952569194,453.96613394040565,0.0,453.96613394040565,1.6150451082258734,453.96613394040565,1.0157676284131179,453.96613394040565,0.0,453.96613394040565,0.5239665870656482,453.96613394040565,0.31435257197184235,453.96613394040565,3.405076676692441
